gene,scores,pvals,rank
PRSS56,21.032373,3.3163997809248346e-98,1
ADGRG2,16.730434,7.866324637776871e-63,2
PTN,15.661515,2.7721289293310462e-55,3
BACE2,15.116439,1.2618429873766357e-51,4
GYPC,15.021876,5.279221012209996e-51,5
DNAJC1,14.8894615,3.8586361002893727e-50,6
MIA,14.7954,1.5684990827251988e-49,7
MPZ,14.117038,2.9826726291150586e-45,8
NOTUM,13.510198,1.3615618641235117e-41,9
GJC3,13.422952,4.4368169827061573e-41,10
CUEDC2,13.216861,7.013061771944669e-40,11
CXCR4,13.116657,2.6434139780743462e-39,12
S100B,13.110972,2.8492099892901015e-39,13
ATP6V0E1,13.035161,7.720383157015408e-39,14
NPC2,12.520858,5.7411202602037e-36,15
GLUL,12.377859,3.444071057154832e-35,16
RPS24,12.256312,1.5541249673231395e-34,17
ECEL1,12.250628,1.6669942007350764e-34,18
CD63,12.151209,5.6523709330673685e-34,19
PMP22,11.976087,4.741846372392195e-33,20
RPL32,11.96254,5.582760204632755e-33,21
RPL35A,11.809305,3.4943576844096393e-32,22
NACA,11.574118,5.5741755651099536e-31,23
ABCC2,11.54611,7.723753774521651e-31,24
CRABP1,11.495061,1.3968205942336517e-30,25
RPL5,11.461522,2.0586488796128276e-30,26
SELENOW,11.41925,3.351147625384236e-30,27
RPS8,11.296549,1.3647688378316982e-29,28
RPS27,11.19225,4.449928357305826e-29,29
PAX3,10.886086,1.3428806323040094e-27,30
HDDC2,10.748619,6.015532392004233e-27,31
RPL9,10.66022,1.5622797197528786e-26,32
RPS15A,10.479718,1.070623501245816e-25,33
RPL13,10.320865,5.671017601546777e-25,34
TLE1,10.276719,8.973013176058371e-25,35
SMOC1,10.274585,9.173848647993555e-25,36
PLEKHA4,10.270796,9.541467835270643e-25,37
ANGPT1,10.264305,1.0205275525895059e-24,38
RPL7,10.242505,1.2788176957697956e-24,39
MPG,10.117016,4.64355689646019e-24,40
ATP1A2,10.069147,7.563131886142603e-24,41
RPS7,9.967658,2.1114848168744857e-23,42
TPD52L1,9.905894,3.92444552318685e-23,43
DOK5,9.851469,6.754932079959837e-23,44
RPL12,9.763113,1.6210144440976892e-22,45
RPL36,9.719578,2.488117786752873e-22,46
FSTL5,9.6459875,5.111686957583266e-22,47
RPL10,9.543366,1.382696137255062e-21,48
EEF1A1,9.542147,1.3990575766317328e-21,49
EGR2,9.488135,2.352031194197194e-21,50
USP53,9.399039,5.506361203517422e-21,51
SNORC,9.35779,8.14216203045254e-21,52
RPS12,9.335249,1.0075374338367841e-20,53
RPL30,9.324991,1.1099230813453421e-20,54
AFAP1L2,9.278298,1.722069391646262e-20,55
RPL34,9.272004,1.8268048823158277e-20,56
BLOC1S1,9.209565,3.2744993730816335e-20,57
HEY2,9.05278,1.3937368640408107e-19,58
RPS28,9.029913,1.7180899961914852e-19,59
PDLIM4,9.027517,1.756111635228743e-19,60
SEMA3C,9.011575,2.0311822012610012e-19,61
RPS15,8.98714,2.537489556121593e-19,62
SPTBN1,8.969129,2.9887018595654276e-19,63
RPL41,8.950486,3.5392132623600006e-19,64
RPS13,8.94992,3.5574153174538886e-19,65
ATP1B3,8.949528,3.570070886706678e-19,66
RPL10A,8.944779,3.726921030547915e-19,67
RPLP1,8.934239,4.09990571845618e-19,68
HSPB1,8.921346,4.60655232059143e-19,69
FTL,8.868162,7.43627928977203e-19,70
C4orf48,8.801541,1.34949495647204e-18,71
ALKBH7,8.793876,1.4448776136661487e-18,72
TTYH1,8.781984,1.6061553895320759e-18,73
RPL37,8.751276,2.109530443722156e-18,74
RPL11,8.700488,3.3045846119054195e-18,75
RHOC,8.659305,4.746489341500325e-18,76
ASPSCR1,8.639639,5.639094606238302e-18,77
RPL31,8.595885,8.262507603342371e-18,78
TPT1,8.550738,1.2230349015138146e-17,79
MOXD1,8.477606,2.2987549732148368e-17,80
TXNIP,8.412313,4.020025039215322e-17,81
RPL26,8.406978,4.2071176725061395e-17,82
